23,1,79
23,1,83
13,12,17
14,48,47
23,1,86
46,33,12
37,39,20
37,39,14
14,41,26
40,32,28
34,47,30
23,1,61
23,1,66
23,1,71
23,1,75
23,1,53
44,11,19
24,2,35
14,41,36
37,39,39
14,41,15
30,27,18
39,24,21
39,24,13
25,39,38
37,39,24
17,4,23
20,4,22
15,5,23
19,4,23
20,9,23
39,27,20
25,28,14
22,28,30
28,12,18
5,17,38
37,17,41
5,17,22
40,18,20
46,17,27
5,17,25
5,17,22
30,18,26
29,31,22
13,31,30
28,31,17
15,31,10
13,33,30
26,34,12
13,36,48
23,36,15
24,36,15
25,36,15
29,48,36
37,49,36
33,41,27
37,39,13
37,39,29
30,42,17
32,43,39
30,43,39
30,47,53
32,47,23
33,47,24
40,32,30
40,32,18
33,28,15
30,27,25
30,27,18
30,27,20
30,27,23
13,24,18
13,24,14
15,24,14
16,27,23
20,27,29
13,28,25
12,27,32
25,23,31
25,25,22
25,25,20
25,25,18
22,25,21
16,20,39
13,20,41
13,17,43
15,18,41
16,16,38
21,19,29
21,19,14
24,17,40
25,20,15
25,20,13
32,11,55
32,11,66
32,11,56
29,1,23
29,1,12
15,3,14
23,15,11
24,16,31
45,26,21
45,26,14
46,33,23
46,33,22
46,33,22
46,33,22
45,40,22
45,42,24
45,43,32
45,43,16
22,48,33
22,48,32
22,48,38
22,48,15
22,48,35
22,48,11
23,10,26
23,10,32
37,10,13
40,8,53
22,32,36
20,32,38
18,32,35
16,32,38
19,35,12
19,35,22
19,35,14
19,24,37
45,48,11
22,48,43
21,12,14
18,12,19
24,32,21
37,10,24
29,8,25
23,10,18
29,9,22
30,27,27
41,46,13
38,46,23
41,49,17
32,11,27
24,13,25
38,46,16
21,12,19
30,31,20
32,32,16
30,34,19
30,34,31
33,35,25
30,34,13
34,43,35
45,42,17
45,40,19
48,41,19
32,36,16
49,40,48
47,38,18
45,38,15
49,40,12
46,33,17
14,28,19
18,26,15
3,32,18
1,28,24
3,28,26
8,28,13
5,32,26
6,32,26
1,32,25
9,34,30
5,36,28
4,48,28
8,32,15
5,26,18
6,41,121
6,48,23
9,48,26
24,19,0
25,32,0
13,9,0
17,9,0
40,32,19
37,33,0
0,25,18
0,25,18
49,46,24
49,46,11
40,32,19
