21,46,9,1
17,5,22,2
14,6,11,2
17,6,12,2
17,8,11,2
21,8,15,1
17,9,27,3
20,2,18,2
21,2,25,4
21,4,26,4
16,9,10,1
20,10,23,4
17,10,30,3
20,12,25,4
17,14,26,3
13,14,27,4
15,14,25,4
14,14,25,4
4,22,25,1
6,21,14,1
9,31,17,4
20,31,22,1
17,35,28,4
7,35,28,3
21,35,26,4
20,35,27,4
22,36,27,1
7,37,19,4
7,38,18,4
8,39,11,1
8,40,17,4
5,40,37,2
11,40,22,3
1,40,27,2
7,40,26,2
20,41,24,4
16,42,13,1
20,43,25,3
17,44,29,2
8,45,21,4
11,45,24,4
22,46,11,1
17,45,26,1
11,46,25,4
8,48,24,3
14,48,24,4
3,48,27,4
5,48,24,4
9,48,29,1
17,48,29,4
11,48,27,2
21,6,29,1
16,13,11,3
14,11,14,4
14,8,27,1
15,6,9,1
20,14,25,1
16,5,8,1
16,11,19,1
17,2,28,2
14,5,25,2
1,27,18,1
7,27,16,1
8,28,12,1
11,29,37,1
20,30,21,1
21,31,21,4
21,31,21,1
22,31,27,4
20,22,29,3
20,18,27,4
20,19,27,4
20,20,26,3
21,18,28,3
23,18,29,2
21,22,28,2
2,21,13,1
10,28,10,1
10,27,22,4
17,27,32,1
20,28,13,1
2,35,21,1
3,35,28,4
4,35,30,4
5,37,19,4
4,38,33,2
3,40,36,2
2,43,20,1
3,44,26,3
2,45,22,1
4,45,25,4
5,44,27,4
1,48,30,1
2,48,25,1
7,48,31,2
10,43,39,2
9,40,31,2
9,35,24,4
16,36,25,4
17,38,28,3
20,37,29,3
20,38,26,4
23,39,20,1
20,40,25,4
16,40,29,3
14,40,29,3
14,39,25,4
14,38,27,4
14,41,13,2
14,42,30,4
14,44,26,3
14,45,24,4
15,48,29,4
16,48,24,4
20,45,30,3
20,44,26,3
20,48,28,4
21,48,20,4
13,46,9,1
1,47,26,2
9,44,31,3
23,14,31,1
35,14,17,4
42,15,10,1
47,14,26,2
49,14,20,1
29,15,30,3
26,18,28,3
34,19,28,2
45,20,24,3
23,20,30,4
30,20,29,3
26,20,27,3
39,21,27,4
42,22,26,4
49,12,25,4
42,12,26,4
27,11,25,4
39,13,25,4
42,13,28,4
29,13,29,4
29,48,28,4
27,46,28,2
23,44,26,2
46,48,26,4
49,2,28,3
35,2,24,3
30,2,27,4
48,3,20,2
36,3,22,4
30,3,26,4
23,3,24,4
36,4,25,4
48,4,11,2
42,5,24,4
38,6,28,3
42,6,14,4
48,6,26,3
49,6,28,2
41,6,24,4
29,6,23,1
24,8,9,1
39,10,25,4
23,10,24,4
36,10,30,2
39,11,25,4
40,10,24,4
23,11,26,3
27,14,30,4
45,14,10,1
32,38,18,4
34,38,10,1
37,37,9,1
36,2,25,4
47,2,16,4
32,2,24,4
34,2,19,3
30,23,26,4
27,22,19,1
35,23,33,2
46,23,31,3
42,23,24,3
36,23,24,2
41,27,27,4
29,27,28,3
30,27,29,4
23,27,19,3
42,27,29,1
42,27,26,4
45,27,24,1
23,29,21,4
28,31,27,4
23,31,31,1
30,31,15,1
27,32,29,2
48,31,13,1
30,35,31,2
26,35,22,3
27,35,17,4
23,36,27,3
29,36,17,4
30,36,30,2
37,36,27,4
32,36,25,3
39,36,10,1
23,37,25,3
28,39,8,1
39,39,29,4
29,40,13,4
28,40,15,1
23,41,20,1
26,41,21,3
29,41,21,4
26,43,23,3
29,43,19,1
46,46,11,1
23,48,15,3
33,3,27,3
35,7,30,4
33,6,32,4
30,1,26,4
26,2,25,4
27,2,16,4
27,2,28,3
23,2,24,4
23,1,25,3
23,5,26,1
41,2,26,4
42,2,28,3
42,3,24,4
45,5,20,3
46,6,31,2
42,10,30,3
42,11,30,3
41,10,13,1
45,10,29,3
46,10,24,1
47,10,20,4
48,10,16,4
49,10,24,4
49,11,24,4
46,15,25,4
45,13,27,2
39,15,27,4
40,15,27,4
41,15,27,4
42,15,27,4
42,14,29,4
39,12,27,3
27,10,32,4
33,13,28,2
33,15,26,2
33,5,22,2
23,6,21,4
29,11,23,2
26,3,30,2
26,4,22,4
26,6,27,4
39,6,25,4
40,6,24,4
28,2,22,4
32,19,19,2
35,19,25,3
36,19,29,2
28,22,13,1
29,19,30,2
40,27,26,2
39,23,26,3
40,23,26,3
45,18,25,3
46,18,23,4
42,20,26,4
42,18,27,3
41,19,27,4
40,18,24,4
38,18,24,3
39,20,25,4
41,23,26,2
28,21,21,1
39,27,18,3
32,23,28,2
45,22,27,3
45,23,27,2
40,22,12,1
34,36,29,1
33,36,26,4
36,38,29,2
36,36,23,1
35,36,27,1
26,37,22,1
26,38,23,3
29,38,26,3
27,48,21,2
23,45,28,3
29,45,15,3
22,27,21,2
23,30,16,1
22,48,26,4
13,43,8,1
17,36,26,4
27,44,25,3
27,45,14,2
45,11,25,4
15,19,24,1
36,13,22,2
33,11,20,2
14,36,36,2
10,36,26,1
41,31,32,1
27,29,17,1
8,30,15,1
1,31,52,2
34,30,34,1
14,28,16,1
4,27,49,2
23,23,14,1
46,3,22,2
39,3,20,2
9,4,62,1
14,2,11,1
10,36,15,1
1,31,28,2
1,31,29,2
1,31,38,2
34,30,14,1
14,28,27,1
14,28,47,1
36,43,19,1
8,14,11,1
8,30,15,1
23,22,14,1
