,Length,PR,turn off camera,Intrudsion,replan times,exploration rate
Average,27.0,560.6301057,12.7,18.3,4.5,0.333
Average,27.0,418.2070874,11.4,16.8,4.4,0.337
Average,27.0,536.5198541,12.7,18.7,4.3,0.3330000000000001
Average,27.0,505.55440869999995,12.4,18.1,4.6,0.34
Average,27.2,558.1717704,12.8,18.7,4.8,0.344
