SC,27,713.069995,13,19,5,0.310000,,,,,
SC,27,621.157689,14,19,5,0.350000,,,,,
SC,27,621.157689,14,19,5,0.350000,,,,,
SC,27,766.478451,14,21,5,0.330000,,,,,
SC,27,621.157689,14,19,5,0.360000,,,,,
SC,27,768.842552,13,20,5,0.350000,,,,,
SC,27,583.615833,14,21,5,0.370000,,,,,
SC,27,369.763587,12,17,4,0.290000,,,,,
SC,27,302.417340,8,13,3,0.310000,,,,,
SC,27,238.640232,11,15,3,0.310000,,,,,
SC,27,369.763587,12,17,4,0.310000,,,,,
SC,27,369.763587,12,17,4,0.320000,,,,,
SC,27,693.184401,14,21,6,0.350000,,,,,
SC,27,693.184401,14,21,6,0.330000,,,,,
SC,27,369.763587,12,17,4,0.310000,,,,,
SC,27,223.252038,7,11,2,0.300000,,,,,
SC,27,329.669844,11,16,4,0.380000,,,,,
SC,27,234.706816,8,13,3,0.340000,,,,,
